Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
2A;0;357;ZERUBIA;; A;0063;;;00067;B067;;MONTE ROSSO;71380;B;L - Landes;5948;P - Propriétaire;PBCFLC;U24527512;0 - Personnes morales non remarquables ;9900;AUPM;PROPRIETAIRES DU BND 357 A0063
2A;0;357;ZERUBIA;; A;0216;;;00109;B109;;SCAGLIALONE;72410;B;L - Landes;12068;P - Propriétaire;PBCFMV;U24534247;0 - Personnes morales non remarquables ;9900;AUPM;PROPRIETAIRES DU BND 357 A0216
2A;0;357;ZERUBIA;; A;0212;;;00008;B008;;BORISTONE;77655;B;L - Landes;12943;P - Propriétaire;PBCFMR;U24533523;0 - Personnes morales non remarquables ;9900;AUPM;PROPRIETAIRES DU BND 357 A0212
2A;0;357;ZERUBIA;; A;0134;;;00003;B003;;AMOR DI DEO;77812;B;BT - Taillis simples;38906;P - Propriétaire;PBCFLX;U24513199;0 - Personnes morales non remarquables ;9900;AUPM;PROPRIETAIRES DU BND 357 A0134
2A;0;357;ZERUBIA;; C;0192;;;00128;B128;;UNCINELLO;87190;B;B - Bois;5129;P - Propriétaire;PBCFWT;U24495994;0 - Personnes morales non remarquables ;9900;AUPM;PROPRIETAIRES DU BND 357 C0192
2A;0;357;ZERUBIA;; A;0203;;;00148;B148;;AJA DEL CEPO;94305;B;L - Landes;3493;P - Propriétaire;PBCFMM;U24529823;0 - Personnes morales non remarquables ;9900;AUPM;PROPRIETAIRES DU BND 357 A0203
2A;0;357;ZERUBIA;; C;0189;;;00128;B128;;UNCINELLO;123260;B;B - Bois;7251;P - Propriétaire;PBCFWR;U24495681;0 - Personnes morales non remarquables ;9900;AUPM;PROPRIETAIRES DU BND 357 C0189
2A;0;357;ZERUBIA;; A;0209;;;00032;B032;;COLLO DI PINO;126612;B;L - Landes;63306;P - Propriétaire;PBCFMN;U24529921;0 - Personnes morales non remarquables ;9900;AUPM;PROPRIETAIRES DU BND 357 A0209
2A;0;357;ZERUBIA;; C;0195;;;00044;B044;;FINOSA;140090;B;B - Bois;70045;P - Propriétaire;PBCFWX;U24496421;0 - Personnes morales non remarquables ;9900;AUPM;PROPRIETAIRES DU BND 357 C0195
2A;0;357;ZERUBIA;; A;0066;;;00021;B021;;CARATTO;142101;B;L - Landes;11842;P - Propriétaire;PBCFLG;U24506982;0 - Personnes morales non remarquables ;9900;AUPM;PROPRIETAIRES DU BND 357 A0066
