Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
55;0;573;VOID VACON;;ZS;0048;;;00081;B079;;COTE DE MONFEU;71064;;BT - Taillis simples;71064;P - Propriétaire;PBBK87;215505736;4 - Commune;7210;COM;COMMUNE DE VOID VACON
55;0;573;VOID VACON;;ZZ;0022;;;00243;B247;;NERBEVIE;76191;;BR - Futaies résineuses;76191;P - Propriétaire;PBB6WB;349596528;0 - Personnes morales non remarquables ;6536;GFO;DE PALISSE
55;0;573;VOID VACON;;ZW;0060;;;00293;B297;;PRE VERSOIR;77450;;P - Prés;77450;P - Propriétaire;PBB3PW;433478336;0 - Personnes morales non remarquables ;6534;GFA;DU PALIS
55;0;573;VOID VACON;;ZX;0025;;;00149;B152;;LE FOURNEAU;86151;;BT - Taillis simples;86151;P - Propriétaire;PBBK87;215505736;4 - Commune;7210;COM;COMMUNE DE VOID VACON
55;0;574;VOUTHON BAS;;ZC;0029;;;00010;B011;;LE CHENOIS;8930;A;T - Terre;3650;P - Propriétaire;PBBJ9V;340677178;0 - Personnes morales non remarquables ;6598;EARL;EARL DU PETIT CHENOIS
55;0;574;VOUTHON BAS;;ZD;0047;;;00011;B012;;LE CLOS;57901;A;T - Terre;13610;P - Propriétaire;PBCBSP;903413888;0 - Personnes morales non remarquables ;6533;GAEC;GROUPEMENT AGRICOLE D'EXPLOITATION EN COMMUN AGREE DE LA GRA
55;0;574;VOUTHON BAS;;ZA;0019;;;00036;B037;;LE TRAIT;81596;A;T - Terre;74433;P - Propriétaire;PBBJ9Q;215505744;4 - Commune;7210;COM;COMMUNE DE VOUTHON BAS
55;0;574;VOUTHON BAS;; A;0267;;;00016;B017;;A LA FONTAINE DE BURONVAUX;1600;AJ;BT - Taillis simples;400;P - Propriétaire;PBBJ9Q;215505744;4 - Commune;7210;COM;COMMUNE DE VOUTHON BAS
55;0;574;VOUTHON BAS;; A;0262;;;00016;B017;;A LA FONTAINE DE BURONVAUX;1980;AJ;BT - Taillis simples;495;P - Propriétaire;PBBJ9Q;215505744;4 - Commune;7210;COM;COMMUNE DE VOUTHON BAS
55;0;574;VOUTHON BAS;; A;0266;;;00016;B017;;A LA FONTAINE DE BURONVAUX;2040;AJ;BT - Taillis simples;510;P - Propriétaire;PBBJ9Q;215505744;4 - Commune;7210;COM;COMMUNE DE VOUTHON BAS
55;0;574;VOUTHON BAS;;ZB;0002;;;00007;B008;;LE CHARME;3350;AJ;BT - Taillis simples;838;P - Propriétaire;PBB8P5;825235716;0 - Personnes morales non remarquables ;6540;SCI;DES GRANDES RUES
55;0;574;VOUTHON BAS;; B;0402;;;00002;B003;;AU BASSIN;5122;AJ;BS - Taillis sous Futaies;1281;P - Propriétaire;PBB8LJ;825403660;0 - Personnes morales non remarquables ;6540;SCI;DU RENOUVEAU
55;0;574;VOUTHON BAS;;ZE;0009;;;00034;B035;;LE SIEGE;10150;AJ;BR - Futaies résineuses;2030;P - Propriétaire;PBB9RL;850817503;0 - Personnes morales non remarquables ;6536;GFO;GROUPEMENT FORESTIER ATOUBOIS
55;0;574;VOUTHON BAS;;ZE;0008;;;00034;B035;;LE SIEGE;14040;AJ;BR - Futaies résineuses;3510;P - Propriétaire;PBB9RL;850817503;0 - Personnes morales non remarquables ;6536;GFO;GROUPEMENT FORESTIER ATOUBOIS
